Nationality,Native name
Cambodian Australian,ជនជាតិខ្មែរអូស្ត្រាលី
Filipino Australian,Australyanong Pilipino
Filipino Australian,Pilipinhong Awstralyano
Indonesian Australian,orang Indonesia di Australia
Laotian Australian,ຄົນລາວ ອົດສະຕຣາລີ
Malaysian Australian,orang Melayu Australia
Malaysian Australian,在澳大利亞的馬來西亞人
Singaporean Australian,新加坡裔澳大利亞人
Singaporean Australian,orang Singapura Australia
Singaporean Australian,சிங்கப்பூர் ஆஸ்திரேலியன்
Thai Australian,ชาวไทยเชื้อสายออสเตรเลีย 
Vietnamese Australian,người Úc gốc Việt
